,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 12 -Mechanic maths,WK1_DAY1,NA,,Year 12 -Mechanic maths,WK1_DAY1,Momentum and conservation ,,Year 12 -Mechanic maths,WK1_DAY1,NA,Year 12 -Mechanic maths,WK1_DAY1,Elastic energy ,,WK1_DAY2,NA,,WK1_DAY2,NA,,WK1_DAY2,NA,,WK1_DAY2,NA,,WK1_DAY2,NA
,WK1_DAY2,NA,,,WK1_DAY2,NA,,,WK1_DAY2,NA,,WK1_DAY2,Quarterly Assessment I,,WK2_DAY1,Modeling mechanics and intro ( year 2 started) ,,WK2_DAY1,,,WK2_DAY1,Centre of Mass,,WK2_DAY1,Incline plane on dynamcs,,WK2_DAY1,PYQ Solving 
,WK2_DAY1,NA,,,WK2_DAY1,Momentum as vector( 1D and 2D) ,,,WK2_DAY1,Principle of conservation of mechanical energy ,,WK2_DAY1,NA,,WK2_DAY2,,,WK2_DAY2,,,WK2_DAY2,,,WK2_DAY2,,,WK2_DAY2,
,WK2_DAY2,NA,,,WK2_DAY2,NA,,,WK2_DAY2,NA,,WK2_DAY2,NA,,WK3_DAY1,Working with vectors ,,WK3_DAY1,Constant accleration ,,WK3_DAY1,NA,,WK3_DAY1,Connected particles,,WK3_DAY1,
,WK3_DAY1,NA,,,WK3_DAY1,Work and Energy ,,,WK3_DAY1,WORK energy principle ,,WK3_DAY1,NA,,WK3_DAY2,NA,,WK3_DAY2,NA,,WK3_DAY2,Tilting ,,WK3_DAY2,,,WK3_DAY2,
,WK3_DAY2,NA,,,WK3_DAY2,NA,,,WK3_DAY2,NA,,WK3_DAY2,NA,,WK4_DAY1,Problems with vectors 2,,WK4_DAY1,Vertical motion under gravity ,,WK4_DAY1,Revision Test ,,WK4_DAY1,"Kinematic- Vector, Projectile",,WK4_DAY1,
,WK4_DAY1,Physical Quantity,,,WK4_DAY1,Kinetic and Potential enery ,,,WK4_DAY1,Power,,WK4_DAY1,NA,,WK4_DAY2,NA,,WK4_DAY2,NA,,WK4_DAY2,NA,,WK4_DAY2,,,WK4_DAY2,
,WK4_DAY2,NA,,,WK4_DAY2,NA,,,WK4_DAY2,NA,,WK4_DAY2,NA,,WK5_DAY1,Posistion vector based problems,,WK5_DAY1,NA,,WK5_DAY1,Static particles based,,WK5_DAY1,,,WK5_DAY1,
,WK5_DAY1,NA,,,WK5_DAY1,NA,,,WK5_DAY1,Elastic spring ,,WK5_DAY1,NA,,WK5_DAY2,NA,,WK5_DAY2,NA,,WK5_DAY2,NA,,WK5_DAY2,,,WK5_DAY2,
,WK5_DAY2,NA,,,WK5_DAY2,NA,,,WK5_DAY2,NA,,WK5_DAY2,NA,,,,,,,,,,,,,,,
